BrandName,ModelName,BatterySize,Acceleration,TopSpeed,Range,Efficiency,ChargeSpeed,Drive,Seats,Price
JAC,iEV7s,39,12.0,132,225,173,160,Front_Wheel_Drive,5,13270
Mercedes,EQV_300_Extra-Long,90,12.1,160,320,281,280,Front_Wheel_Drive,7,72281
Citroen,e-SpaceTourer_XS_50,45,12.1,130,185,243,250,Front_Wheel_Drive,7,50880
Citroen,e-SpaceTourer_M_50,45,12.1,130,185,243,250,Front_Wheel_Drive,7,51440
Citroen,e-SpaceTourer_XL_50,45,12.1,130,180,250,240,Front_Wheel_Drive,7,52230
Opel,Zafira-e_Life_S_50,45,12.1,130,185,243,250,Front_Wheel_Drive,7,56700
Opel,Zafira-e_Life_M_50,45,12.1,130,185,243,250,Front_Wheel_Drive,7,53800
Opel,Zafira-e_Life_L_50,45,12.1,130,180,250,240,Front_Wheel_Drive,7,54625
Peugeot,e-Traveller_Compact_50,45,12.1,130,185,243,250,Front_Wheel_Drive,7,50880
Mercedes,EQV_300_Long,90,12.1,160,320,281,280,Front_Wheel_Drive,7,71388
Toyota,PROACE_Verso_M_50,45,12.1,130,185,243,250,Front_Wheel_Drive,7,58530
Toyota,PROACE_Verso_L_50,45,12.1,130,180,250,240,Front_Wheel_Drive,7,59385
SEAT,Mii_Electric,32,12.3,130,205,158,170,Front_Wheel_Drive,4,24650
Renault,Twingo_Electric,21,12.6,135,130,164,170,Rear_Wheel_Drive,4,24790
Smart,EQ_forfour,17,12.7,130,95,176,250,Rear_Wheel_Drive,4,19120
Peugeot,e-Traveller_Standard_50,45,13.1,130,185,243,250,Front_Wheel_Drive,7,55900
Peugeot,e-Traveller_Long_50,45,13.1,130,185,243,250,Front_Wheel_Drive,7,56690
Toyota,PROACE_Verso_M_75,68,13.1,130,270,252,290,Front_Wheel_Drive,7,64530
Toyota,PROACE_Verso_L_75,68,13.1,130,270,252,290,Front_Wheel_Drive,7,65385
Citroen,e-SpaceTourer_M_75,68,13.3,130,270,252,290,Front_Wheel_Drive,7,57440
Citroen,e-SpaceTourer_XL_75,68,13.3,130,270,252,290,Front_Wheel_Drive,7,58230
Opel,Zafira-e_Life_M_75,68,13.3,130,270,252,290,Front_Wheel_Drive,7,59800
Opel,Zafira-e_Life_L_75,68,13.3,130,270,252,290,Front_Wheel_Drive,7,60625
Peugeot,e-Traveller_Standard_75,68,13.3,130,270,252,290,Front_Wheel_Drive,7,57440
Peugeot,e-Traveller_Long_75,68,13.3,130,270,252,290,Front_Wheel_Drive,7,58230
Nissan,e-NV200_Evalia,36,14.0,123,165,218,170,Front_Wheel_Drive,7,43433
Dacia,Spring_Electric,27,15.0,125,170,158,120,Front_Wheel_Drive,4,20490
Renault,Kangoo_Maxi_ZE_33,31,22.4,130,160,194,120,Front_Wheel_Drive,5,28200
