;Last;PE;;ROE;;
;Y;X1;;X2;;
;47,30;18,60;;30,52;;
;356,60;28,35;;41,73;;
;282,00;28,35;;41,73;;
;123,40;62,84;;5,78;;
;92,06;--;;-20,17;;
;103,10;67,95;;12,81;;
;41,99;10,64;;12,69;;
;38,10;8,88;;15,02;;
;260,90;24,77;;17,67;;
;651,00;40,28;;29,03;;
;41,78;24,63;;12,90;;
;150,60;17,30;;17,43;;
;51,86;21,45;;15,09;;
;8,01;363,14;;0,25;;
;52,38;3,35;;10,02;;
;14,08;73,14;;6,38;;
;8,54;6,73;;--;;
;9,15;108,89;;0,57;;
;115,30;21,03;;24,78;;
;3,05;38,23;;3,90;;
;19,41;15,62;;5,69;;
;69,12;48,13;;27,46;;
;10,87;--;;-51,30;;
;16,22;1,34;;72,81;;
;79,14;5,03;;18,56;;
;93,00;16,73;;59,13;;
;24,00;--;;-0,95;;
;326,60;13,29;;--;;
;229,40;37,62;;11,58;;
;164,70;21,08;;14,07;;
;20,30;--;;-75,10;;
;67,84;4,99;;18,43;;
;35,20;16,67;;4,50;;
;9,42;138,81;;1,78;;
;9,26;13,91;;12,31;;
;54,26;18,32;;2,60;;
;60,60;18,47;;9,37;;
;18,87;--;;-2,33;;
;109,20;18,41;;12,51;;
;36,42;47,04;;1,82;;
;9,65;4,26;;13,44;;
;66,74;21,23;;19,95;;
;31,68;11,81;;13,97;;
;48,95;12,24;;17,94;;
;28,38;27,07;;7,74;;
;6,60;7,59;;6,97;;
;18,30;23,34;;4,35;;
;33,76;20,19;;16,60;;
;142,50;48,07;;7,15;;
;77,60;11,41;;49,80;;
;190,95;16,24;;--;;
;74,68;25,28;;6,32;;
;67,46;25,28;;6,32;;
;71,30;--;;--;;
;12,84;10,49;;12,56;;
;23,54;33,53;;13,68;;
;69,50;8,18;;10,04;;
;1,76;16,16;;18,83;;
;76,40;6,09;;12,85;;
;31,16;42,57;;15,66;;
;6,94;42,77;;2,74;;
;7,28;9,54;;2,95;;
;99,40;32,32;;8,59;;
;29,20;17,90;;6,79;;
;31,48;19,89;;25,57;;
;35,10;53,14;;2,36;;
;59,22;36,51;;7,91;;
;40,36;18,73;;17,22;;
;69,80;27,77;;17,45;;
;9,78;9,98;;19,17;;
;27,87;11,54;;6,96;;
;47,02;32,52;;3,46;;
;30,70;18,77;;14,42;;
;35,04;18,77;;14,42;;
;26,14;39,51;;5,09;;
;44,25;19,40;;5,05;;
;47,30;37,93;;12,79;;
;21,35;164,14;;2,63;;
;19,26;14,35;;20,50;;
;19,54;16,77;;5,32;;
;58,95;27,44;;32,31;;
;48,26;34,00;;14,66;;
;11,98;17,23;;13,09;;
;22,12;--;;-2,52;;
;67,30;16,23;;21,66;;
;78,00;24,61;;43,26;;
;15,98;34,62;;8,25;;
;29,82;10,07;;7,81;;
;19,38;--;;-2,63;;
;29,26;15,42;;12,37;;
;28,93;8,90;;14,82;;
;21,49;13,98;;16,57;;
;47,55;--;;-5,01;;
;41,53;9,62;;25,35;;
;44,16;17,76;;26,09;;
;6,80;17,86;;2,78;;
;39,25;--;;-65,24;;
;5,74;8,63;;12,76;;
;19,78;57,78;;1,04;;
;9,74;4,09;;--;;
;172,90;21,28;;19,06;;
;94,90;13,12;;14,62;;
;48,60;35,72;;11,43;;
;65,64;197,96;;0,52;;
;30,00;34,99;;4,30;;
;2,56;8,27;;19,34;;
;10,40;10,13;;14,16;;
;9,90;9,93;;--;;
;38,30;8,23;;16,69;;
;4,51;--;;-13,66;;
;66,90;22,03;;20,52;;
;76,96;13,27;;20,46;;
;104,30;3,98;;22,22;;
;108,62;3,98;;22,22;;
;38,76;14,54;;14,88;;
;125,30;37,39;;10,30;;
;40,07;21,35;;17,37;;
;54,22;13,80;;11,56;;
;47,22;--;;-1,56;;
;7,46;--;;-15,97;;
;1,06;--;;-3,56;;
;33,30;12,93;;--;;
;16,68;--;;-6,71;;
;192,40;77,16;;44,42;;
;133,40;19,57;;24,64;;
;212,95;13,06;;--;;
;27,53;30,65;;16,00;;
;8,10;--;;-30,73;;
;111,95;34,11;;16,00;;
;167,28;131,60;;3,65;;
;131,00;29,34;;14,48;;
;20,10;57,12;;5,11;;
;24,80;27,10;;16,13;;
;10,52;5,03;;6,80;;
;39,73;--;;-3,68;;
;7.745,33;10,24;;--;;
;11.974,00;70,80;;8,62;;
;2.396,50;5,30;;23,35;;
;594,50;10,23;;--;;
;4.327,50;16,53;;42,31;;
;480,50;--;;-3,48;;
;4.898,00;8,26;;24,45;;
;3.609,50;25,65;;44,22;;
;2.733,50;9,37;;9,36;;
;1.458,00;13,78;;33,18;;
;437,15;4,26;;38,77;;
;2.496,00;29,08;;46,63;;
;8.540,00;59,96;;3,18;;
;6.436,00;19,66;;27,75;;
;1.160,00;--;;-16,81;;
;2.108,00;33,42;;20,68;;
;2.397,00;8,38;;16,36;;
;1.166,50;40,77;;--;;
;345,55;29,62;;4,97;;
;45,97;6,41;;--;;
;985,80;19,69;;17,06;;
;3.918,00;14,15;;12,68;;
;16.040,00;--;;-2,95;;
;2.746,00;27,60;;32,60;;
;91,05;14,87;;3,78;;
;259,10;7,18;;--;;
;153,48;5,15;;--;;
;4.701,00;21,06;;26,18;;
;1.861,50;7,78;;32,23;;
;271,60;27,57;;5,40;;
;1.880,00;11,50;;25,71;;
;618,00;9,20;;--;;
;1.757,50;4,21;;36,62;;
;640,60;55,25;;8,65;;
;153,75;12,30;;9,45;;
;1.922,00;21,61;;6,55;;
;1.429,50;11,69;;18,06;;
